Record Date,Electronic Category Description,Channel Type Description,Tax Category Description,Net Collections Amount,Electronic Category ID,Channel Type ID,Tax Category ID,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-12-26,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,53212486.55,1,1,1,13,2024,1,2023,4,12,26
2023-12-26,Fully Electronic - All,Internet,Non-Tax,645467860.18,1,3,1,14,2024,1,2023,4,12,26
2023-12-22,Non-Electronic,Mail,Non-Tax,20.00,4,2,1,1,2024,1,2023,4,12,22
2023-12-22,Non-Electronic,Over-the-Counter (OTC),Non-Tax,9660859.68,4,1,1,2,2024,1,2023,4,12,22
2023-12-22,Fully Electronic - All,Bank,IRS Non-Tax,15.00,1,5,2,3,2024,1,2023,4,12,22
2023-12-22,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,20341.00,2,1,2,4,2024,1,2023,4,12,22
2023-12-22,Non-Electronic,Over-the-Counter (OTC),IRS Tax,4812035.02,4,1,3,5,2024,1,2023,4,12,22
2023-12-22,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,613558.88,3,1,1,6,2024,1,2023,4,12,22
2023-12-22,Fully Electronic - All,Internet,IRS Non-Tax,1014974.81,1,3,2,7,2024,1,2023,4,12,22
2023-12-22,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,120776565.59,2,1,1,8,2024,1,2023,4,12,22
2023-12-22,Fully Electronic - All,Bank,Non-Tax,1245331541.73,1,5,1,9,2024,1,2023,4,12,22
2023-12-22,Electronic Settlement,Mail,IRS Tax,239168003.14,3,2,3,11,2024,1,2023,4,12,22
2023-12-22,Electronic Settlement,Mail,Non-Tax,49909389.66,3,2,1,12,2024,1,2023,4,12,22
2023-12-22,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,353424977.52,2,1,3,10,2024,1,2023,4,12,22
2023-12-22,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,18836774.54,1,1,1,13,2024,1,2023,4,12,22
2023-12-22,Fully Electronic - All,Internet,IRS Tax,15979189340.43,1,3,3,14,2024,1,2023,4,12,22
2023-12-22,Fully Electronic - All,Internet,Non-Tax,5177059716.77,1,3,1,15,2024,1,2023,4,12,22
2023-12-21,Non-Electronic,Mail,Non-Tax,351.69,4,2,1,1,2024,1,2023,4,12,21
2023-12-21,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,207300.45,3,1,1,2,2024,1,2023,4,12,21
2023-12-21,Non-Electronic,Over-the-Counter (OTC),Non-Tax,25224619.19,4,1,1,3,2024,1,2023,4,12,21
2023-12-21,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,85695.28,2,1,2,4,2024,1,2023,4,12,21
2023-12-21,Non-Electronic,Over-the-Counter (OTC),IRS Tax,2618668.87,4,1,3,5,2024,1,2023,4,12,21
2023-12-21,Fully Electronic - All,Internet,IRS Non-Tax,666839.00,1,3,2,6,2024,1,2023,4,12,21
2023-12-21,Fully Electronic - All,Bank,Non-Tax,3412173687.11,1,5,1,8,2024,1,2023,4,12,21
2023-12-21,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,189588739.30,2,1,3,9,2024,1,2023,4,12,21
2023-12-21,Electronic Settlement,Mail,IRS Tax,418806835.65,3,2,3,10,2024,1,2023,4,12,21
2023-12-21,Electronic Settlement,Mail,Non-Tax,64913426.53,3,2,1,11,2024,1,2023,4,12,21
2023-12-21,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,86724794.48,2,1,1,7,2024,1,2023,4,12,21
2023-12-21,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,17379784.29,1,1,1,12,2024,1,2023,4,12,21
2023-12-21,Fully Electronic - All,Internet,IRS Tax,8490181420.56,1,3,3,13,2024,1,2023,4,12,21
2023-12-21,Fully Electronic - All,Internet,Non-Tax,646558070.05,1,3,1,14,2024,1,2023,4,12,21
2023-12-20,Non-Electronic,Mail,Non-Tax,1133.76,4,2,1,1,2024,1,2023,4,12,20
2023-12-20,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,18332.93,3,1,1,2,2024,1,2023,4,12,20
2023-12-20,Non-Electronic,Over-the-Counter (OTC),Non-Tax,14320486.44,4,1,1,3,2024,1,2023,4,12,20
2023-12-20,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,344209.47,2,1,2,4,2024,1,2023,4,12,20
2023-12-20,Fully Electronic - All,Bank,IRS Tax,6391863.89,1,5,3,5,2024,1,2023,4,12,20
2023-12-20,Non-Electronic,Over-the-Counter (OTC),IRS Tax,7095931.76,4,1,3,6,2024,1,2023,4,12,20
2023-12-20,Fully Electronic - All,Internet,IRS Non-Tax,684246.00,1,3,2,7,2024,1,2023,4,12,20
2023-12-20,Fully Electronic - All,Bank,Non-Tax,1525582689.22,1,5,1,9,2024,1,2023,4,12,20
2023-12-20,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,327912232.62,2,1,3,10,2024,1,2023,4,12,20
2023-12-20,Electronic Settlement,Mail,IRS Tax,1211808672.27,3,2,3,11,2024,1,2023,4,12,20
2023-12-20,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,89606718.05,2,1,1,8,2024,1,2023,4,12,20
2023-12-20,Electronic Settlement,Mail,Non-Tax,126740663.64,3,2,1,12,2024,1,2023,4,12,20
2023-12-20,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,17538143.25,1,1,1,13,2024,1,2023,4,12,20
2023-12-20,Fully Electronic - All,Internet,IRS Tax,16900520081.76,1,3,3,14,2024,1,2023,4,12,20
2023-12-20,Fully Electronic - All,Internet,Non-Tax,790800308.71,1,3,1,15,2024,1,2023,4,12,20
2023-12-19,Non-Electronic,Mail,Non-Tax,603.29,4,2,1,1,2024,1,2023,4,12,19
2023-12-19,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,1027341.49,3,1,1,2,2024,1,2023,4,12,19
2023-12-19,Non-Electronic,Over-the-Counter (OTC),Non-Tax,9682831.37,4,1,1,3,2024,1,2023,4,12,19
2023-12-19,Fully Electronic - All,Bank,IRS Non-Tax,50.00,1,5,2,4,2024,1,2023,4,12,19
2023-12-19,Fully Electronic - All,Bank,IRS Tax,471493.63,1,5,3,5,2024,1,2023,4,12,19
2023-12-19,Non-Electronic,Over-the-Counter (OTC),IRS Tax,3354504.12,4,1,3,6,2024,1,2023,4,12,19
2023-12-19,Fully Electronic - All,Internet,IRS Non-Tax,712442.41,1,3,2,7,2024,1,2023,4,12,19
2023-12-19,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,60978.24,2,1,2,8,2024,1,2023,4,12,19
2023-12-19,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,236204603.64,2,1,3,11,2024,1,2023,4,12,19
2023-12-19,Electronic Settlement,Mail,IRS Tax,339034384.38,3,2,3,12,2024,1,2023,4,12,19
2023-12-19,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,87517467.99,2,1,1,9,2024,1,2023,4,12,19
2023-12-19,Fully Electronic - All,Bank,Non-Tax,1378762568.96,1,5,1,10,2024,1,2023,4,12,19
2023-12-19,Electronic Settlement,Mail,Non-Tax,83337279.07,3,2,1,13,2024,1,2023,4,12,19
2023-12-19,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,14367322.28,1,1,1,14,2024,1,2023,4,12,19
2023-12-19,Fully Electronic - All,Internet,Non-Tax,627468901.37,1,3,1,15,2024,1,2023,4,12,19
2023-12-19,Fully Electronic - All,Internet,IRS Tax,6394577903.70,1,3,3,16,2024,1,2023,4,12,19
2023-12-18,Non-Electronic,Mail,Non-Tax,868.78,4,2,1,1,2024,1,2023,4,12,18
2023-12-18,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,66114.49,3,1,1,2,2024,1,2023,4,12,18
2023-12-18,Non-Electronic,Over-the-Counter (OTC),Non-Tax,61102236.00,4,1,1,3,2024,1,2023,4,12,18
2023-12-18,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,32879.40,2,1,2,4,2024,1,2023,4,12,18
2023-12-18,Fully Electronic - All,Bank,IRS Tax,182847.00,1,5,3,5,2024,1,2023,4,12,18
2023-12-18,Non-Electronic,Over-the-Counter (OTC),IRS Tax,25010614.44,4,1,3,6,2024,1,2023,4,12,18
2023-12-18,Fully Electronic - All,Internet,IRS Non-Tax,458978.87,1,3,2,7,2024,1,2023,4,12,18
2023-12-18,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,74016065.91,2,1,1,8,2024,1,2023,4,12,18
2023-12-18,Fully Electronic - All,Bank,Non-Tax,1710265941.86,1,5,1,10,2024,1,2023,4,12,18
2023-12-18,Electronic Settlement,Mail,IRS Tax,293029121.73,3,2,3,11,2024,1,2023,4,12,18
2023-12-18,Electronic Settlement,Mail,Non-Tax,54468385.03,3,2,1,12,2024,1,2023,4,12,18
2023-12-18,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,114806578.11,2,1,3,9,2024,1,2023,4,12,18
2023-12-18,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,49379156.95,1,1,1,13,2024,1,2023,4,12,18
2023-12-18,Fully Electronic - All,Internet,Non-Tax,676548230.11,1,3,1,14,2024,1,2023,4,12,18
2023-12-18,Fully Electronic - All,Internet,IRS Tax,44315242312.67,1,3,3,15,2024,1,2023,4,12,18
2023-12-15,Non-Electronic,Mail,Non-Tax,1140.05,4,2,1,1,2024,1,2023,4,12,15
2023-12-15,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,54609.47,3,1,1,2,2024,1,2023,4,12,15
2023-12-15,Non-Electronic,Over-the-Counter (OTC),Non-Tax,12353250.44,4,1,1,3,2024,1,2023,4,12,15
2023-12-15,Fully Electronic - All,Bank,IRS Tax,1859504.94,1,5,3,4,2024,1,2023,4,12,15
2023-12-15,Non-Electronic,Over-the-Counter (OTC),IRS Tax,7817528.36,4,1,3,5,2024,1,2023,4,12,15
2023-12-15,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,121907.03,2,1,2,6,2024,1,2023,4,12,15
2023-12-15,Fully Electronic - All,Internet,IRS Non-Tax,602623.94,1,3,2,7,2024,1,2023,4,12,15
2023-12-15,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,83575196.97,2,1,1,9,2024,1,2023,4,12,15
2023-12-15,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,194547088.70,2,1,3,10,2024,1,2023,4,12,15
2023-12-15,Electronic Settlement,Mail,IRS Tax,235010116.95,3,2,3,11,2024,1,2023,4,12,15
2023-12-15,Fully Electronic - All,Bank,Non-Tax,2199765398.27,1,5,1,8,2024,1,2023,4,12,15
2023-12-15,Electronic Settlement,Mail,Non-Tax,49916205.04,3,2,1,12,2024,1,2023,4,12,15
2023-12-15,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,16000345.83,1,1,1,13,2024,1,2023,4,12,15
2023-12-15,Fully Electronic - All,Internet,IRS Tax,63855255912.74,1,3,3,14,2024,1,2023,4,12,15
2023-12-15,Fully Electronic - All,Internet,Non-Tax,682063084.60,1,3,1,15,2024,1,2023,4,12,15
2023-12-14,Non-Electronic,Over-the-Counter (OTC),Non-Tax,14882650.76,4,1,1,1,2024,1,2023,4,12,14
2023-12-14,Fully Electronic - All,Bank,IRS Tax,4456155.13,1,5,3,2,2024,1,2023,4,12,14
2023-12-14,Non-Electronic,Over-the-Counter (OTC),IRS Tax,2254660.78,4,1,3,3,2024,1,2023,4,12,14
2023-12-14,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,43690.00,2,1,2,4,2024,1,2023,4,12,14
2023-12-14,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,128494.00,3,1,1,5,2024,1,2023,4,12,14
2023-12-14,Fully Electronic - All,Internet,IRS Non-Tax,716734.42,1,3,2,6,2024,1,2023,4,12,14
2023-12-14,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,76380139.29,2,1,1,7,2024,1,2023,4,12,14
2023-12-14,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,148620378.25,2,1,3,9,2024,1,2023,4,12,14
2023-12-14,Electronic Settlement,Mail,IRS Tax,358616021.88,3,2,3,10,2024,1,2023,4,12,14
2023-12-14,Fully Electronic - All,Bank,Non-Tax,1529962037.14,1,5,1,8,2024,1,2023,4,12,14
2023-12-14,Electronic Settlement,Mail,Non-Tax,52963191.14,3,2,1,11,2024,1,2023,4,12,14
2023-12-14,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,15237931.86,1,1,1,12,2024,1,2023,4,12,14
2023-12-14,Fully Electronic - All,Internet,IRS Tax,28636273646.68,1,3,3,13,2024,1,2023,4,12,14
2023-12-14,Fully Electronic - All,Internet,Non-Tax,602097403.58,1,3,1,14,2024,1,2023,4,12,14
2023-12-13,Non-Electronic,Mail,Non-Tax,250.00,4,2,1,1,2024,1,2023,4,12,13
2023-12-13,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,467199.37,3,1,1,2,2024,1,2023,4,12,13
2023-12-13,Non-Electronic,Over-the-Counter (OTC),Non-Tax,7791787.83,4,1,1,3,2024,1,2023,4,12,13
2023-12-13,Fully Electronic - All,Bank,IRS Tax,47118.87,1,5,3,4,2024,1,2023,4,12,13
2023-12-13,Non-Electronic,Over-the-Counter (OTC),IRS Tax,8276986.82,4,1,3,5,2024,1,2023,4,12,13
2023-12-13,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,41110.62,2,1,2,6,2024,1,2023,4,12,13
2023-12-13,Fully Electronic - All,Internet,IRS Non-Tax,446356.02,1,3,2,7,2024,1,2023,4,12,13
2023-12-13,Fully Electronic - All,Bank,Non-Tax,2421844206.11,1,5,1,8,2024,1,2023,4,12,13
2023-12-13,Electronic Settlement,Mail,Non-Tax,97678735.10,3,2,1,12,2024,1,2023,4,12,13
2023-12-13,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,86897141.23,2,1,1,9,2024,1,2023,4,12,13
2023-12-13,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,324310579.38,2,1,3,10,2024,1,2023,4,12,13
2023-12-13,Electronic Settlement,Mail,IRS Tax,867180575.91,3,2,3,11,2024,1,2023,4,12,13
2023-12-13,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,15434308.07,1,1,1,13,2024,1,2023,4,12,13
2023-12-13,Fully Electronic - All,Internet,IRS Tax,20679138693.99,1,3,3,14,2024,1,2023,4,12,13
2023-12-13,Fully Electronic - All,Internet,Non-Tax,485158922.19,1,3,1,15,2024,1,2023,4,12,13
2023-12-12,Non-Electronic,Over-the-Counter (OTC),Non-Tax,9028501.22,4,1,1,1,2024,1,2023,4,12,12
2023-12-12,Fully Electronic - All,Bank,IRS Tax,64959007.75,1,5,3,2,2024,1,2023,4,12,12
2023-12-12,Non-Electronic,Over-the-Counter (OTC),IRS Tax,16231823.23,4,1,3,3,2024,1,2023,4,12,12
2023-12-12,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,26688.18,3,1,1,4,2024,1,2023,4,12,12
2023-12-12,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,29615.00,2,1,2,5,2024,1,2023,4,12,12
2023-12-12,Fully Electronic - All,Internet,IRS Non-Tax,375472.70,1,3,2,6,2024,1,2023,4,12,12
2023-12-12,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,166303058.55,2,1,3,8,2024,1,2023,4,12,12
2023-12-12,Fully Electronic - All,Bank,Non-Tax,1055503407.87,1,5,1,10,2024,1,2023,4,12,12
2023-12-12,Electronic Settlement,Mail,Non-Tax,63605685.62,3,2,1,11,2024,1,2023,4,12,12
2023-12-12,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,75651155.11,2,1,1,7,2024,1,2023,4,12,12
2023-12-12,Electronic Settlement,Mail,IRS Tax,286709237.82,3,2,3,9,2024,1,2023,4,12,12
2023-12-12,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,11906051.14,1,1,1,12,2024,1,2023,4,12,12
2023-12-12,Fully Electronic - All,Internet,IRS Tax,7337390279.91,1,3,3,13,2024,1,2023,4,12,12
2023-12-12,Fully Electronic - All,Internet,Non-Tax,723048399.39,1,3,1,14,2024,1,2023,4,12,12
2023-12-11,Non-Electronic,Mail,Non-Tax,0.00,4,2,1,1,2024,1,2023,4,12,11
2023-12-11,Non-Electronic,Over-the-Counter (OTC),Non-Tax,7369757.21,4,1,1,2,2024,1,2023,4,12,11
2023-12-11,Fully Electronic - All,Bank,IRS Non-Tax,59.00,1,5,2,3,2024,1,2023,4,12,11
2023-12-11,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,119102.94,2,1,2,4,2024,1,2023,4,12,11
2023-12-11,Fully Electronic - All,Bank,IRS Tax,4887592.66,1,5,3,5,2024,1,2023,4,12,11
2023-12-11,Non-Electronic,Over-the-Counter (OTC),IRS Tax,3387012.98,4,1,3,6,2024,1,2023,4,12,11
2023-12-11,Fully Electronic - All,Internet,IRS Non-Tax,414644.00,1,3,2,7,2024,1,2023,4,12,11
2023-12-11,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,85039.05,3,1,1,8,2024,1,2023,4,12,11
2023-12-11,Fully Electronic - All,Bank,Non-Tax,1265386932.50,1,5,1,13,2024,1,2023,4,12,11
2023-12-11,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,166619858.21,2,1,3,10,2024,1,2023,4,12,11
2023-12-11,Electronic Settlement,Mail,IRS Tax,256091766.05,3,2,3,11,2024,1,2023,4,12,11
2023-12-11,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,67914048.77,2,1,1,9,2024,1,2023,4,12,11
2023-12-11,Electronic Settlement,Mail,Non-Tax,46453163.28,3,2,1,12,2024,1,2023,4,12,11
2023-12-11,Fully Electronic - All,Internet,IRS Tax,27052573349.63,1,3,3,14,2024,1,2023,4,12,11
2023-12-11,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,45820454.81,1,1,1,15,2024,1,2023,4,12,11
2023-12-11,Fully Electronic - All,Internet,Non-Tax,783133935.83,1,3,1,16,2024,1,2023,4,12,11
2023-12-08,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,78124.08,3,1,1,1,2024,1,2023,4,12,8
2023-12-08,Non-Electronic,Over-the-Counter (OTC),Non-Tax,26965282.96,4,1,1,2,2024,1,2023,4,12,8
2023-12-08,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,413544.00,2,1,2,3,2024,1,2023,4,12,8
2023-12-08,Fully Electronic - All,Bank,IRS Tax,3563.26,1,5,3,4,2024,1,2023,4,12,8
2023-12-08,Non-Electronic,Over-the-Counter (OTC),IRS Tax,17509448.35,4,1,3,5,2024,1,2023,4,12,8
2023-12-08,Fully Electronic - All,Internet,IRS Non-Tax,395398.60,1,3,2,6,2024,1,2023,4,12,8
2023-12-08,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,186622808.04,2,1,3,9,2024,1,2023,4,12,8
2023-12-08,Electronic Settlement,Mail,IRS Tax,133688483.35,3,2,3,10,2024,1,2023,4,12,8
2023-12-08,Electronic Settlement,Mail,Non-Tax,39108988.56,3,2,1,11,2024,1,2023,4,12,8
2023-12-08,Fully Electronic - All,Bank,Non-Tax,1106982959.90,1,5,1,7,2024,1,2023,4,12,8
2023-12-08,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,84578031.86,2,1,1,8,2024,1,2023,4,12,8
2023-12-08,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,15742840.50,1,1,1,12,2024,1,2023,4,12,8
2023-12-08,Fully Electronic - All,Internet,IRS Tax,12482643629.66,1,3,3,13,2024,1,2023,4,12,8
2023-12-08,Fully Electronic - All,Internet,Non-Tax,580111885.40,1,3,1,14,2024,1,2023,4,12,8
2023-12-07,Non-Electronic,Mail,Non-Tax,400.00,4,2,1,1,2024,1,2023,4,12,7
2023-12-07,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,233953.07,3,1,1,2,2024,1,2023,4,12,7
2023-12-07,Non-Electronic,Over-the-Counter (OTC),Non-Tax,14517024.68,4,1,1,3,2024,1,2023,4,12,7
2023-12-07,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,445810.35,2,1,2,4,2024,1,2023,4,12,7
2023-12-07,Fully Electronic - All,Bank,IRS Tax,160029.44,1,5,3,5,2024,1,2023,4,12,7
2023-12-07,Non-Electronic,Over-the-Counter (OTC),IRS Tax,8814217.60,4,1,3,6,2024,1,2023,4,12,7
2023-12-07,Fully Electronic - All,Internet,IRS Non-Tax,511007.65,1,3,2,7,2024,1,2023,4,12,7
2023-12-07,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,77588907.89,2,1,1,8,2024,1,2023,4,12,7
2023-12-07,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,238945897.78,2,1,3,10,2024,1,2023,4,12,7
2023-12-07,Electronic Settlement,Mail,IRS Tax,203484510.11,3,2,3,11,2024,1,2023,4,12,7
2023-12-07,Electronic Settlement,Mail,Non-Tax,54469979.93,3,2,1,12,2024,1,2023,4,12,7
2023-12-07,Fully Electronic - All,Bank,Non-Tax,1290614707.87,1,5,1,9,2024,1,2023,4,12,7
2023-12-07,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,14749225.66,1,1,1,13,2024,1,2023,4,12,7
2023-12-07,Fully Electronic - All,Internet,IRS Tax,4328361117.94,1,3,3,14,2024,1,2023,4,12,7
2023-12-07,Fully Electronic - All,Internet,Non-Tax,819091309.28,1,3,1,15,2024,1,2023,4,12,7
2023-12-06,Non-Electronic,Mail,Non-Tax,45.00,4,2,1,1,2024,1,2023,4,12,6
2023-12-06,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,237618.09,3,1,1,2,2024,1,2023,4,12,6
2023-12-06,Non-Electronic,Over-the-Counter (OTC),Non-Tax,16415193.00,4,1,1,3,2024,1,2023,4,12,6
2023-12-06,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,176250.58,2,1,2,4,2024,1,2023,4,12,6
2023-12-06,Non-Electronic,Over-the-Counter (OTC),IRS Tax,7623152.86,4,1,3,5,2024,1,2023,4,12,6
2023-12-06,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,217449862.88,2,1,3,9,2024,1,2023,4,12,6
2023-12-06,Electronic Settlement,Mail,Non-Tax,87475025.09,3,2,1,11,2024,1,2023,4,12,6
2023-12-06,Fully Electronic - All,Internet,IRS Non-Tax,536564.78,1,3,2,6,2024,1,2023,4,12,6
2023-12-06,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,88625446.94,2,1,1,7,2024,1,2023,4,12,6
2023-12-06,Fully Electronic - All,Bank,Non-Tax,1265449769.72,1,5,1,8,2024,1,2023,4,12,6
2023-12-06,Electronic Settlement,Mail,IRS Tax,640776454.19,3,2,3,10,2024,1,2023,4,12,6
2023-12-06,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,15326452.98,1,1,1,12,2024,1,2023,4,12,6
2023-12-06,Fully Electronic - All,Internet,IRS Tax,14623127491.75,1,3,3,13,2024,1,2023,4,12,6
2023-12-06,Fully Electronic - All,Internet,Non-Tax,704466487.79,1,3,1,14,2024,1,2023,4,12,6
2023-12-05,Non-Electronic,Mail,Non-Tax,238.95,4,2,1,1,2024,1,2023,4,12,5
2023-12-05,Non-Electronic,Over-the-Counter (OTC),Non-Tax,28991102.45,4,1,1,2,2024,1,2023,4,12,5
2023-12-05,Non-Electronic,Over-the-Counter (OTC),IRS Tax,8724509.30,4,1,3,3,2024,1,2023,4,12,5
2023-12-05,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,227598.06,3,1,1,4,2024,1,2023,4,12,5
2023-12-05,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,632210.47,2,1,2,5,2024,1,2023,4,12,5
2023-12-05,Fully Electronic - All,Internet,IRS Non-Tax,499844.63,1,3,2,6,2024,1,2023,4,12,5
2023-12-05,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,102333572.28,2,1,1,7,2024,1,2023,4,12,5
